employee_id,first_name,last_name,gender,date_of_birth,national_id_type,national_id,email,phone,hire_date,termination_date,employment_status,contract_type,fte,job_title,job_level,department,manager_id,salary,currency,salary_period,bonus,salary_grade,city,country,work_mode,office_id,performance_rating,vacation_days_total,vacation_days_used,education_level,skills,languages,last_promotion_date,projects_count,emergency_contact,is_remote_eligible,tenure_years,age,annual_salary,annual_salary_usd
23,Ishita,Bhat,F,1983-07-25,Aadhaar,6425 3601 7345,ishita.bhat@globalcorp.com,+91 98778 22547,2019-12-18,,Active,Internship,0.8,Warehouse Worker,junior,Logistics,28.0,50420.27,INR,Monthly,67079.84,P1,Delhi,India,On-site,29,4,20,5,Master,"Financial Analysis, AWS","Hindi, English, Dutch",2021-10-14,2,Manish +91 75695 17082,True,,41,672123.08,8065.48
24,Jack,Clark,M,1995-10-03,SSN,394-76-2454,jack.clark@globalcorp.com,+1 (207) 311-7720,2016-01-24,2022-10-27,Terminated,Fixed-term,1.0,Legal Counsel,mid,Legal,390.0,8067.23,USD,Monthly,7982.09,P2,San Antonio,USA,Hybrid,86,4,20,3,PhD,"Tableau, SQL, React","English, Russian, Polish",,4,Ellie +1 (325) 524-7258,False,6.76,29,104788.85,104788.85
25,Nicole,Moretti,F,1983-07-15,Codice Fiscale,MRTNCL83L55781P,nicole.moretti@globalcorp.com,+39 381 3721087,2017-01-01,,Active,Fixed-term,1.0,Sales Representative,mid,Sales,475.0,3918.76,EUR,Monthly,5454.2,P2,Bologna,Italy,Remote,15,4,20,16,Master,"Oracle, Accounting, PRINCE2, Financial Analysis, Project Management","Italian, English, German",2024-01-05,5,Chiara +39 320 1311686,True,,41,52479.32,56677.67
26,Dagmara,Mazur,F,1991-06-13,PESEL,91061328831,dagmara.mazur@globalcorp.com,+48 606 604 528,2015-06-13,,Active,Permanent,1.0,Key Account Manager,manager,Sales,,169.2,PLN,Hourly,54182.49,P5,Gdansk,Poland,Hybrid,39,4,26,14,Bachelor,"React, Excel, Python, Tableau, AutoCAD","Polish, English",,3,Zofia +48 667 869 165,False,,34,395289.69,98822.42
27,James,Hill,M,1988-10-18,NINO,PX 25 00 77 B,james.hill@globalcorp.com,+44 7450 550413,2021-02-18,,Active,Fixed-term,1.0,Data Analyst,mid,IT,78.0,5153.12,GBP,Monthly,1610.19,P2,Birmingham,UK,On-site,14,3,20,8,Master,"Figma, PRINCE2",English,,3,William +44 7802 928847,False,,36,63447.63,80578.49
28,Pawel,Tomczak,Other,1973-12-04,PESEL,73120466032,pawel.tomczak@globalcorp.com,+48 728 755 834,2012-04-05,,Active,Permanent,0.5,Supply Chain Analyst,mid,Logistics,394.0,54.41,PLN,Hourly,0.0,P2,Krakow,Poland,Remote,49,3,26,15,Bachelor,"React, ITIL, Jira","Polish, English, Mandarin, Dutch",2023-01-13,1,Kamila +48 694 363 993,True,,51,109690.56,27422.64
29,Hubert,Pawlowski,M,1975-03-25,PESEL,75032534946,hubert.pawlowski@globalcorp.com,+48 694 888 324,2012-02-14,,Active,Permanent,0.8,IT Manager,manager,IT,,34232.05,PLN,Monthly,27806.96,P5,Lodz,Poland,Hybrid,55,3,26,26,Master,"Photoshop, Figma, PMP, SQL","Polish, English",2022-12-07,3,Mateusz +48 604 750 996,False,,50,438591.56,109647.89
30,Sofía,Muñoz,F,1968-10-31,DNI,38435729S,sofia.munoz@globalcorp.com,+34 602 202635,2017-01-22,,Active,Contractor,1.0,HR Specialist,mid,HR,499.0,3536.31,EUR,Monthly,2390.0,P2,Barcelona,Spain,Remote,9,4,20,5,Master,"Accounting, Kotlin, PRINCE2, Azure, PMP",Spanish,2023-05-31,3,Marta +34 611 833844,True,,56,44825.72,48411.78
31,Edoardo,Fontana,M,2000-02-25,Codice Fiscale,FNTDRD00B25516V,edoardo.fontana@globalcorp.com,+39 393 6764666,2025-02-28,,Active,Permanent,1.0,Controller,senior,Finance,355.0,31.08,EUR,Hourly,0.0,P3,Milan,Italy,Hybrid,65,2,20,18,Bachelor,"Project Management, Jira, Kotlin, AWS","Italian, English, Spanish, Korean",,1,Niccolò +39 334 9417915,False,,25,62657.28,67669.86
32,Mohan,Kapoor,M,1993-02-12,Aadhaar,6941 7049 4652,mohan.kapoor@globalcorp.com,+91 68352 02250,2016-05-10,,Active,Permanent,0.5,Scrum Master,lead,IT,259.0,205309.87,INR,Monthly,387827.24,P4,Hyderabad,India,Hybrid,46,5,20,19,Bachelor,"AWS, PRINCE2","Hindi, English, Polish",2020-07-14,4,Vihaan +91 70250 21933,True,,32,2851545.68,34218.55
33,Marina,Krause,F,1983-10-19,Steuer-ID,35 144 818 465,marina.krause@globalcorp.com,+49 175 6109936,2014-05-01,,Active,Permanent,1.0,Copywriter,mid,Marketing,289.0,6119.82,EUR,Monthly,9941.25,P2,Munich,Germany,Remote,68,3,26,20,PhD,"Java, AutoCAD, ITIL, AWS, PRINCE2","German, English, Korean, Polish",,4,Sebastian +49 151 5882059,True,,41,83379.09,90049.42
34,Hans,Bauer,M,1982-06-11,Steuer-ID,29 207 684 004,hans.bauer@globalcorp.com,+49 231 6723442,2016-02-15,,Active,B2B,1.0,Finance Manager,manager,Finance,,11213.0,EUR,Monthly,23601.21,P5,Berlin,Germany,On-site,11,4,20,3,Master,"Tableau, SAP","German, English",2023-12-23,6,Sabine +49 89 3256405,False,,43,158157.21,170809.79
35,Ellie,Lewis,F,1976-08-10,NINO,GY 18 21 21 B,ellie.lewis@globalcorp.com,+44 7805 968836,2020-01-11,,Active,Permanent,1.0,Warehouse Worker,junior,Logistics,226.0,3534.44,GBP,Monthly,0.0,P1,London,UK,Remote,56,3,20,1,Master,"Financial Analysis, Docker",English,,1,Adam +44 7914 857003,False,,48,42413.28,53864.87
36,Julia,Krawczyk,F,1988-03-07,PESEL,88030739855,julia.krawczyk@globalcorp.com,+48 728 305 722,2015-06-28,,On Leave,Permanent,1.0,Inside Sales Specialist,junior,Sales,170.0,6490.19,PLN,Monthly,10299.76,P1,Gdansk,Poland,Hybrid,39,5,26,3,Master,"Jira, Photoshop, Tableau","Polish, English, Dutch",2019-07-13,2,Sara +48 691 525 780,False,,37,88182.04,22045.51
37,Mikolaj,Pawlowski,M,1977-08-30,PESEL,77083058307,mikolaj.pawlowski@globalcorp.com,+48 693 634 818,2006-10-31,2007-03-05,Terminated,B2B,1.0,Sales Director,manager,Sales,,27698.53,PLN,Monthly,54084.83,P5,Bialystok,Poland,Remote,12,1,26,18,Master,"Power BI, Kubernetes, AWS","Polish, English",2009-02-14,0,Joanna +48 722 355 911,True,0.34,47,386467.19,96616.8
38,Isla,Martin,F,1981-01-26,NINO,CE 10 35 33 B,isla.martin@globalcorp.com,+44 7405 437658,2021-06-09,,Active,Permanent,0.5,Sales Manager,manager,Sales,,10915.01,GBP,Monthly,0.0,P5,Birmingham,UK,On-site,14,3,20,8,High School,"Accounting, PRINCE2",English,,3,Arthur +44 7403 689291,True,,44,130980.12,166344.75
39,Ewa,Kaminski,F,1978-09-06,PESEL,78090659431,ewa.kaminski@globalcorp.com,+48 728 902 133,2024-02-23,,Active,Contractor,1.0,Compliance Officer,senior,Legal,330.0,12926.43,PLN,Monthly,0.0,P3,Warsaw,Poland,Hybrid,102,4,20,20,Master,"PMP, AutoCAD","Polish, English, Mandarin",,3,Barbara +48 668 917 882,True,,46,155117.16,38779.29
40,Nicolás,González,M,1992-03-26,DNI,24049317B,nicolas.gonzalez@globalcorp.com,+34 632 337772,2018-12-01,,Active,Permanent,1.0,Legal Counsel,mid,Legal,363.0,3315.58,EUR,Monthly,7015.66,P2,Palma,Spain,On-site,77,3,20,0,PhD,"Docker, Power BI","Spanish, English, Dutch, Arabic",2024-10-09,2,Helena +34 610 186926,False,,33,46802.62,50546.83
41,Eleanor,Robinson,Other,1983-12-29,NINO,CE 18 95 66 C,eleanor.robinson@globalcorp.com,+44 7450 151352,2004-06-03,,Active,B2B,0.8,Key Account Manager,manager,Sales,,13907.25,GBP,Monthly,0.0,P5,London,UK,Remote,56,3,26,10,High School,"Scrum, Docker","English, Dutch",2012-09-09,1,Henry +44 7804 741521,False,,41,166887.0,211946.49
42,Pepijn,Dijkstra,M,1986-04-21,BSN,289.706.865,pepijn.dijkstra@globalcorp.com,+31 6 37006860,2010-06-12,,Active,Internship,1.0,Copywriter,mid,Marketing,420.0,6133.01,EUR,Monthly,3255.1,P2,Apeldoorn,Netherlands,On-site,5,4,26,7,Bachelor,"SQL, Python","Dutch, English, Arabic, Portuguese",,5,Julia +31 6 13473755,False,,39,76851.22,82999.32
43,Filippo,Rossi,M,1973-06-08,Codice Fiscale,RSSFLP73H08520A,filippo.rossi@globalcorp.com,+39 354 4315339,2007-03-15,,Active,Permanent,0.8,Contract Specialist,mid,Legal,406.0,51949.43,EUR,Annual,4942.82,P2,Palermo,Italy,On-site,76,4,26,23,Master,"Azure, ITIL, AutoCAD, Python, PRINCE2","Italian, English, Mandarin",2014-07-11,0,Matteo +39 360 1419047,True,,52,56892.25,61443.63
44,Philipp,Meyer,Other,1978-05-30,Steuer-ID,22 700 376 551,philipp.meyer@globalcorp.com,+49 43 6868435,2016-11-14,,Active,Fixed-term,1.0,Quality Inspector,mid,Operations,199.0,4749.92,EUR,Monthly,0.0,P2,Munich,Germany,Remote,68,2,20,2,Master,"Java, SQL, AWS, PMP, Figma","German, Spanish, Japanese",2024-09-23,3,Maria +49 159 5714802,False,,47,56999.04,61558.96
45,Charlotte,van der Linden,F,1986-01-14,BSN,372.914.366,charlotte.vanderlinden@globalcorp.com,+31 6 54123278,2018-05-29,,Active,Permanent,1.0,Forklift Operator,junior,Logistics,258.0,4018.09,EUR,Monthly,5511.16,P1,The Hague,Netherlands,Hybrid,93,3,20,8,Bachelor,"ITIL, Project Management","Dutch, English, Spanish",,5,Noa +31 6 17185650,True,,39,53728.24,58026.5
46,Sara,Vos,F,1969-09-08,BSN,977.260.653,sara.vos@globalcorp.com,+31 6 25101666,2018-09-10,2020-06-09,Terminated,B2B,1.0,Solution Architect,lead,IT,29.0,8038.96,EUR,Monthly,6782.01,P4,Rotterdam,Netherlands,Hybrid,85,3,20,18,Master,"Scrum, Tableau, Docker, Azure, Java",Dutch,,4,Bente +31 6 46292034,False,1.75,55,103249.53,111509.49
47,Nina,Becker,F,1982-08-24,Steuer-ID,76 410 923 623,nina.becker@globalcorp.com,+49 281 5121648,2001-05-23,,Active,Contractor,0.8,Business Development Manager,manager,Sales,,93.99,EUR,Hourly,0.0,P5,Düsseldorf,Germany,Hybrid,33,3,26,26,Master,"Tableau, ITIL, SAP","German, English, Korean",,1,Maria +49 231 2475476,True,,42,189483.84,204642.55
48,Susanne,Braun,F,1984-09-26,Steuer-ID,75 604 461 176,susanne.braun@globalcorp.com,+49 90 1410225,2013-04-30,,Active,B2B,0.8,CFO,manager,Finance,,11830.93,EUR,Monthly,19911.59,P5,Berlin,Germany,Hybrid,11,3,26,24,Master,"AutoCAD, Excel, Accounting, SAP","German, English, Italian",,1,Frauke +49 97 4899995,True,,40,161882.75,174833.37
49,Daniel,Rodríguez,M,1972-09-01,DNI,82926193S,daniel.rodriguez@globalcorp.com,+34 636 487203,2015-01-31,,Active,Contractor,0.8,Sales Manager,manager,Sales,,8161.89,EUR,Monthly,14878.8,P5,Bilbao,Spain,On-site,13,2,26,17,Bachelor,"Oracle, Project Management, SAP, Negotiation, Java","Spanish, English, French",,7,Lucía +34 682 680977,True,,52,112821.48,121847.2
50,Sylwia,Kozlowski,F,1995-05-31,PESEL,95053182230,sylwia.kozlowski@globalcorp.com,+48 601 676 820,2025-05-04,,Active,Fixed-term,1.0,QA Specialist,mid,IT,51.0,33.27,PLN,Hourly,5227.99,P2,Lodz,Poland,Hybrid,55,3,20,3,High School,"PRINCE2, Lean Six Sigma, React, Photoshop, AWS","Polish, English",,2,Magdalena +48 691 823 402,False,,30,72300.31,18075.08
51,Patrycja,Kaminski,F,1988-03-07,PESEL,88030781043,patrycja.kaminski@globalcorp.com,+48 668 176 167,2008-12-05,,Active,Fixed-term,1.0,Data Scientist,lead,IT,72.0,20206.61,PLN,Monthly,28848.68,P4,Lublin,Poland,Hybrid,58,3,26,2,Bachelor,"Kotlin, Python, Scrum, Kubernetes, Financial Analysis","Polish, Hindi",,5,Aleksandra +48 515 276 620,True,,37,271328.0,67832.0
52,Gabriela,Kozlowski,F,1983-09-25,PESEL,83092515614,gabriela.kozlowski@globalcorp.com,+48 663 700 381,2022-08-15,,Active,Permanent,0.8,Legal Assistant,junior,Legal,43.0,60647.31,PLN,Annual,0.0,P1,Lublin,Poland,Hybrid,58,4,20,8,PhD,"Oracle, ITIL, PMP, Scrum","Polish, English, Italian",2024-01-11,3,Karolina +48 513 161 105,True,,41,60647.31,15161.83
53,Fenna,Smits,F,1977-02-12,BSN,612.521.667,fenna.smits@globalcorp.com,+31 6 28740989,1995-05-09,,Active,B2B,1.0,Legal Director,manager,Legal,,14101.03,EUR,Monthly,0.0,P5,Amsterdam,Netherlands,Hybrid,4,3,26,12,Master,"Oracle, PMP, Financial Analysis, Negotiation","Dutch, Hindi",2013-09-12,6,Anouk +31 6 21476811,False,,48,169212.36,182749.35
54,Rafael,Serrano,M,1968-02-11,DNI,91429506K,rafael.serrano@globalcorp.com,+34 600 171760,1993-11-13,,Active,Contractor,0.75,Data Analyst,mid,IT,375.0,4432.28,EUR,Monthly,6772.85,P2,Valencia,Spain,On-site,99,3,26,13,Bachelor,"Financial Analysis, Accounting, Tableau","Spanish, English",2008-10-23,6,Leire +34 636 109025,False,,57,59960.21,64757.03
55,Nicole,Russo,F,1994-03-07,Codice Fiscale,RSSNCL94C47138E,nicole.russo@globalcorp.com,+39 329 9852312,2023-06-16,,Active,Fixed-term,1.0,Social Media Manager,manager,Marketing,,57.0,EUR,Hourly,3892.64,P5,Catania,Italy,Hybrid,23,5,20,1,PhD,"PMP, Jira, Kotlin, Oracle","Italian, English, Japanese",,3,Elisa +39 388 4772783,True,,31,118804.64,128309.01
56,Sara,van Leeuwen,F,1980-06-15,BSN,703.035.149,sara.vanleeuwen@globalcorp.com,+31 6 32424591,2019-09-23,2024-03-29,Terminated,Permanent,1.0,Supply Chain Analyst,mid,Logistics,225.0,25.39,EUR,Hourly,2999.76,P2,Rotterdam,Netherlands,On-site,85,4,20,14,Bachelor,"Salesforce, Tableau, Oracle","Dutch, English, Russian, Italian",2022-04-24,6,Nora +31 6 21696954,True,4.51,45,54186.0,58520.88
57,Lily,Young,F,1970-07-20,NINO,BB 28 46 07 A,lily.young@globalcorp.com,+44 7455 972476,2024-06-27,2025-03-14,Terminated,Permanent,0.75,Data Scientist,lead,IT,72.0,6459.47,GBP,Monthly,0.0,P4,London,UK,Hybrid,56,3,20,8,Master,"Financial Analysis, SQL, SAP",English,2025-06-29,1,George +44 7402 371664,True,0.71,54,77513.64,98442.32
58,Maxime,François,M,1977-02-28,INSEE,1 77 02 28 68 232 0,maxime.francois@globalcorp.com,+33 7 22 07 12 36,2013-05-22,,Active,B2B,1.0,Recruiter,mid,HR,154.0,5388.43,EUR,Monthly,7945.37,P2,Marseille,France,Hybrid,63,5,26,2,High School,"PMP, Figma, SAP","French, English",,4,Maxime +33 6 48 08 29 11,True,,48,72606.53,78415.05
59,Lukasz,Kwiatkowski,M,1989-08-13,PESEL,89081387127,lukasz.kwiatkowski@globalcorp.com,+48 693 818 367,2018-08-17,,Active,Contractor,1.0,Marketing Director,manager,Marketing,,27113.78,PLN,Monthly,46717.75,P5,Warsaw,Poland,Hybrid,102,3,20,19,Master,"Kubernetes, Azure, Scrum","Polish, English, German",,2,Dariusz +48 605 946 516,True,,35,372083.11,93020.78
60,Pawel,Dabrowski,M,1987-01-08,PESEL,87010826536,pawel.dabrowski@globalcorp.com,+48 661 449 142,2015-12-21,,Active,Permanent,1.0,Sales Manager,manager,Sales,,27001.06,PLN,Monthly,21658.54,P5,Lublin,Poland,Hybrid,58,3,20,7,Master,"Python, Photoshop, Docker, Salesforce","Polish, English, Portuguese",2024-08-09,5,Filip +48 694 556 731,True,,38,345671.26,86417.82
61,Emma,Alonso,F,1974-02-22,DNI,01533813N,emma.alonso@globalcorp.com,+34 672 581900,2009-03-17,,Active,Permanent,0.75,QA Specialist,mid,IT,72.0,3763.39,EUR,Monthly,0.0,P2,Valencia,Spain,Hybrid,99,3,26,6,Master,"Negotiation, Docker, ITIL, Project Management, AWS","Spanish, English",,1,Irene +34 676 236149,True,,51,45160.68,48773.53
62,Chloe,Taylor,F,1996-05-15,NINO,EM 30 08 07 D,chloe.taylor@globalcorp.com,+44 7705 995867,2020-02-01,,Active,Permanent,1.0,Brand Manager,manager,Marketing,,12459.56,GBP,Monthly,21212.51,P5,Liverpool,UK,Remote,54,2,20,10,Bachelor,"React, AutoCAD, ITIL",English,,2,William +44 7804 600925,True,,29,170727.23,216823.58
63,Mathéo,Lopez,M,1970-03-06,INSEE,1 70 03 06 45 380 7,matheo.lopez@globalcorp.com,+33 6 96 26 73 38,1999-02-04,,Active,Permanent,1.0,Sales Representative,mid,Sales,146.0,4567.59,EUR,Monthly,4723.47,P2,Le Havre,France,Hybrid,50,4,26,25,Bachelor,"ITIL, AWS",French,2003-09-03,4,Sarah +33 7 82 58 27 21,True,,55,59534.55,64297.31
64,Lorenzo,Gallo,M,1998-03-09,Codice Fiscale,GLLLRN98C09797M,lorenzo.gallo@globalcorp.com,+39 330 1120060,2024-02-17,,Active,Internship,0.8,Marketing Director,manager,Marketing,,9275.96,EUR,Monthly,0.0,P5,Milan,Italy,Remote,65,3,20,17,Bachelor,"AutoCAD, Figma, PMP","Italian, English",2025-04-27,2,Leonardo +39 389 9958295,True,,27,111311.52,120216.44
65,Jaime,Navarro,M,1986-03-29,DNI,91991070V,jaime.navarro@globalcorp.com,+34 648 915887,2011-10-26,,On Leave,Permanent,1.0,Data Analyst,mid,IT,299.0,3495.29,EUR,Monthly,0.0,P2,Murcia,Spain,Hybrid,69,4,26,2,MBA,"Azure, Salesforce","Spanish, English",2016-02-05,4,Marta +34 617 801553,True,,39,41943.48,45298.96
